id;texto_denuncia;tipo_denuncia;urgencia
1;comunicante relata movimentação frequente de pessoas durante a madrugada em uma residência, com suspeita de venda de drogas no local.;Tráfico de drogas;Alta
2;vizinho informa que uma pessoa estaria ameaçando a companheira dentro da residência e que a discussão está acontecendo neste momento.;Violência doméstica;Alta
3;morador relata que um estabelecimento estaria comprando aparelhos eletrônicos sem comprovação de origem.;Receptação;Média
4;comunicante informa que dois indivíduos estariam abordando pedestres e subtraindo celulares em uma área movimentada.;Roubo;Alta
5;moradora relata o desaparecimento de uma bicicleta deixada em área comum de um prédio durante a tarde.;Furto;Média
6;denunciante afirma ter visto uma pessoa exibindo uma arma de fogo na cintura durante uma discussão em via pública.;Porte ilegal de arma;Alta
7;comunicante suspeita que funcionários de um órgão público estejam recebendo valores para acelerar a análise de documentos.;Corrupção;Média
8;morador relata que cães permanecem constantemente sem alimentação adequada e em condições precárias de higiene.;Maus-tratos a animais;Média
9;denunciante informa que uma área de vegetação estaria sendo desmatada para abertura irregular de um terreno.;Crime ambiental;Média
10;comerciante relata que a fachada de seu estabelecimento foi danificada durante a madrugada por pessoas não identificadas.;Vandalismo;Baixa
11;morador informa que um imóvel vizinho mantém aparelhos de som em volume muito alto durante a madrugada, com ocorrência frequente.;Perturbação do sossego;Baixa
12;comunicante relata que um homem estaria perseguindo uma pessoa conhecida e fazendo ameaças por mensagens e pessoalmente.;Ameaça;Alta
13;denunciante informa que uma residência estaria sendo utilizada para armazenar grande quantidade de entorpecentes.;Tráfico de drogas;Alta
14;vizinho relata gritos e pedidos de ajuda vindos de uma residência, indicando possível agressão ocorrendo no momento.;Violência doméstica;Alta
15;morador afirma que ferramentas foram retiradas de um depósito durante a noite sem autorização do proprietário.;Furto;Média
16;comunicante relata que uma pessoa estaria vendendo produtos eletrônicos por valores muito abaixo do mercado e sem apresentar comprovantes.;Receptação;Média
17;denunciante informa que um indivíduo teria efetuado disparos para o alto durante uma confraternização.;Disparo de arma de fogo;Alta
18;morador relata que veículos estariam sendo desmontados em um imóvel, com suspeita de que algumas peças tenham origem ilícita.;Receptação;Média
19;comunicante afirma que servidores estariam utilizando veículos oficiais para atividades particulares com frequência.;Uso irregular de bem público;Baixa
20;denunciante relata descarte frequente de resíduos químicos em uma área próxima a um curso d'água.;Crime ambiental;Alta
21;morador informa que um grupo estaria depredando bancos, lixeiras e equipamentos de uma praça durante a noite.;Vandalismo;Média
22;comunicante relata que uma pessoa estaria sendo ameaçada por dívida e teme que a situação evolua para agressão.;Ameaça;Alta
23;denunciante informa que uma motocicleta teria sido levada de uma área de estacionamento sem sinais de arrombamento.;Furto;Média
24;vizinho relata que um cachorro permanece acorrentado por longos períodos, sem abrigo adequado e aparentemente ferido.;Maus-tratos a animais;Alta
25;morador informa que um bar estaria funcionando com som elevado até altas horas, causando reclamações frequentes na vizinhança.;Perturbação do sossego;Baixa
26;comunicante relata que uma pessoa estaria oferecendo vantagem financeira para obter aprovação irregular de um processo administrativo.;Corrupção;Média
27;denunciante afirma que indivíduos estariam comercializando drogas em uma praça e abordando pessoas que passam pelo local.;Tráfico de drogas;Alta
28;morador relata que uma pessoa teria sido abordada na saída de um estabelecimento e teve sua bolsa levada mediante ameaça.;Roubo;Alta
29;comunicante informa que um imóvel abandonado estaria sendo utilizado para armazenar objetos possivelmente provenientes de crimes.;Receptação;Média
30;denunciante relata pichações e danos recentes em paredes e equipamentos de um espaço público, sem indicação de risco imediato.;Vandalismo;Baixa
31;comunicante relata movimentação suspeita em um estabelecimento.;Tráfico de drogas;Alta
35;comunicante relata perturbação do sossego.;Perturbação do sossego;Baixa
36;denunciante relata indivíduo portando objeto suspeito.;Porte ilegal de arma;Alta
37;morador relata descarte irregular de resíduos.;Crime ambiental;Média
